sk_local;bairro;endereco;latitude;longitude
89;NÃO INFORMADO;NÃO INFORMADO;-8.001203;-34.914025
90;NÃO INFORMADO;NÃO INFORMADO;-8.114847;-34.897229
91;NÃO INFORMADO;NÃO INFORMADO;-8.039694;-34.879253
92;NÃO INFORMADO;NÃO INFORMADO;-8.042296;-34.902599
93;NÃO INFORMADO;NÃO INFORMADO;-8.060048;-34.889166
94;NÃO INFORMADO;NÃO INFORMADO;-8.067622;-34.928316
95;NÃO INFORMADO;NÃO INFORMADO;-8.116886;-34.913435
96;NÃO INFORMADO;NÃO INFORMADO;-8.036079;-34.938511
97;NÃO INFORMADO;NÃO INFORMADO;-8.06309;-34.893631
98;NÃO INFORMADO;NÃO INFORMADO;-8.03214;-34.88134
99;NÃO INFORMADO;NÃO INFORMADO;-8.040809;-34.93854
100;NÃO INFORMADO;NÃO INFORMADO;-8.067473;-34.911429
101;NÃO INFORMADO;NÃO INFORMADO;-8.031423;-34.904986
102;NÃO INFORMADO;NÃO INFORMADO;-8.02421;-34.893678
103;NÃO INFORMADO;NÃO INFORMADO;-8.06128;-34.888785
104;NÃO INFORMADO;NÃO INFORMADO;-8.099541;-34.910066
105;NÃO INFORMADO;NÃO INFORMADO;-8.141129;-34.911144
106;NÃO INFORMADO;NÃO INFORMADO;-8.079556;-34.89342
107;NÃO INFORMADO;NÃO INFORMADO;-8.086083;-34.909599
108;NÃO INFORMADO;NÃO INFORMADO;-8.105723;-34.889826
109;NÃO INFORMADO;NÃO INFORMADO;-8.04466;-34.943985
110;NÃO INFORMADO;NÃO INFORMADO;-8.020736;-34.935826
111;NÃO INFORMADO;NÃO INFORMADO;-8.092273;-34.908854
112;NÃO INFORMADO;NÃO INFORMADO;-8.038711;-34.879293
113;NÃO INFORMADO;NÃO INFORMADO;-8.052949;-34.880902
114;NÃO INFORMADO;NÃO INFORMADO;-8.063702;-34.935172
115;NÃO INFORMADO;NÃO INFORMADO;-8.008895;-34.938806
116;NÃO INFORMADO;NÃO INFORMADO;-8.033665;-34.896427
117;NÃO INFORMADO;NÃO INFORMADO;-8.043454;-34.887428
118;NÃO INFORMADO;NÃO INFORMADO;-8.08534;-34.891366
119;NÃO INFORMADO;NÃO INFORMADO;-8.124651;-34.915063
120;NÃO INFORMADO;NÃO INFORMADO;-8.049945;-34.904873
121;NÃO INFORMADO;NÃO INFORMADO;-8.087124;-34.931417
122;NÃO INFORMADO;NÃO INFORMADO;-8.06367;-34.897669
123;NÃO INFORMADO;NÃO INFORMADO;-8.085499;-34.886664
124;NÃO INFORMADO;NÃO INFORMADO;-8.088965;-34.8851
125;NÃO INFORMADO;NÃO INFORMADO;-8.016662;-34.917855
126;NÃO INFORMADO;NÃO INFORMADO;-8.036645;-34.975491
127;NÃO INFORMADO;NÃO INFORMADO;-8.060834;-34.924196
128;NÃO INFORMADO;NÃO INFORMADO;-8.039582;-34.904235
129;NÃO INFORMADO;NÃO INFORMADO;-8.032194;-34.912984
130;NÃO INFORMADO;NÃO INFORMADO;-8.069831;-34.897723
131;NÃO INFORMADO;NÃO INFORMADO;-8.134788;-34.913537
132;NÃO INFORMADO;NÃO INFORMADO;-8.05668;-34.919422
133;NÃO INFORMADO;NÃO INFORMADO;-8.084554;-34.927812
134;NÃO INFORMADO;NÃO INFORMADO;-8.109855;-34.918199
135;NÃO INFORMADO;NÃO INFORMADO;-8.129834;-34.89952
136;NÃO INFORMADO;NÃO INFORMADO;-8.010106;-34.91322
137;NÃO INFORMADO;NÃO INFORMADO;-8.080908;-34.920245
138;NÃO INFORMADO;NÃO INFORMADO;-8.056701;-34.892642
139;NÃO INFORMADO;NÃO INFORMADO;-8.022271;-34.883968
140;NÃO INFORMADO;NÃO INFORMADO;-8.10421;-34.888185
141;NÃO INFORMADO;NÃO INFORMADO;-8.140826;-34.930365
142;NÃO INFORMADO;NÃO INFORMADO;-8.030133;-34.892567
143;NÃO INFORMADO;NÃO INFORMADO;-8.053962;-34.912105
144;NÃO INFORMADO;NÃO INFORMADO;-8.086923;-34.89098
145;NÃO INFORMADO;NÃO INFORMADO;-8.053201;-34.905775
146;NÃO INFORMADO;NÃO INFORMADO;-8.080491;-34.905831
147;NÃO INFORMADO;NÃO INFORMADO;-8.055676;-34.90402
148;NÃO INFORMADO;NÃO INFORMADO;-8.00021;-34.904552
149;NÃO INFORMADO;NÃO INFORMADO;-8.12515;-34.93691
150;NÃO INFORMADO;NÃO INFORMADO;-8.047109;-34.918756
151;NÃO INFORMADO;NÃO INFORMADO;-8.061418;-34.882659
152;NÃO INFORMADO;NÃO INFORMADO;-8.045266;-34.889976
153;NÃO INFORMADO;NÃO INFORMADO;-8.090821;-34.956983
154;NÃO INFORMADO;NÃO INFORMADO;-8.148091;-34.918832
155;NÃO INFORMADO;NÃO INFORMADO;-8.062438;-34.897261
156;NÃO INFORMADO;NÃO INFORMADO;-8.028029;-34.916916
157;NÃO INFORMADO;NÃO INFORMADO;-8.004986;-34.910227
158;NÃO INFORMADO;NÃO INFORMADO;-8.121018;-34.895571
159;NÃO INFORMADO;NÃO INFORMADO;-8.039303;-34.889274
160;NÃO INFORMADO;NÃO INFORMADO;-8.049459;-34.881664
161;NÃO INFORMADO;NÃO INFORMADO;-8.039619;-34.89224
162;NÃO INFORMADO;NÃO INFORMADO;-8.097491;-34.914647
163;NÃO INFORMADO;NÃO INFORMADO;-8.10686;-34.911375
164;NÃO INFORMADO;NÃO INFORMADO;-7.989006;-34.931427
165;NÃO INFORMADO;NÃO INFORMADO;-8.112808;-34.89054
166;NÃO INFORMADO;NÃO INFORMADO;-8.118097;-34.942102
167;NÃO INFORMADO;NÃO INFORMADO;-8.006797;-34.886886
168;NÃO INFORMADO;NÃO INFORMADO;-8.123594;-34.899799
169;NÃO INFORMADO;NÃO INFORMADO;-8.054237;-34.927447
170;NÃO INFORMADO;NÃO INFORMADO;-8.083741;-34.948846
171;NÃO INFORMADO;NÃO INFORMADO;-8.092828;-34.946319
