sk_tipo_acidente;causa_acidente;descricao_detalhada
1154;Colisão entre veículos;COM 1 VITIMA
1155;Colisão entre veículos;DOIS AUTO E MOTO
1156;Colisão entre veículos;COL.COM DUAS VITIMA
1157;Colisão entre veículos;COM UMA VITIMA JÁSOCORRIDA PELO SAMU
1158;Colisão entre veículos;AUTO X MOTO VÍTIMA NO LOCAL
1159;Colisão entre veículos;COL.COM UMA VITIMA
1160;Colisão entre veículos;COLISÃO COM 1 VITIMA GM PAULO QTH
1161;Colisão entre veículos;"AUTO X MOTO; AGENTE DO LOCAL GM FÁBIO PEREIRA"
1162;Colisão entre veículos;COLISAO ENTRAUTO E MOTO
1163;Colisão entre veículos;MOTO CHOQUE COM POSTE
1164;Colisão entre veículos;COLISAO DE TAXI E MOTO S/V
1165;Colisão entre veículos;COLISAODE AUTOE MOTO - VEICULOS RETIRADOS DA VIA
1166;Colisão entre veículos;ENTRE DUAS MOTOS
1167;Colisão entre veículos;MOTO E CAMINHAO
1168;Colisão entre veículos;"COLISÃO ENTRE AUTO E MOTO; COM VÍTIMA"
1169;Colisão entre veículos;vw/ gol kjr2350 e 1 moto
1170;Colisão entre veículos;"AUTO E MOTO; AUTO EVADIU-SE DO LOCAL."
1171;Colisão entre veículos;COLISÃO COM 1 VITIMA A ESPERA DO SOCORRO
1172;Colisão entre veículos;ENTRE UM AUTO EUMA MOTO
1173;Colisão entre veículos;UM AUTO E UMA AMBULÂNCIA
1174;Colisão entre veículos;VT DA POLICIA E MOTO
1175;Colisão entre veículos;DOIS ONIBUS BORBOREMA E CAXANGA
1176;Colisão entre veículos;01 MOTO 01 VT PM
1177;Colisão entre veículos;"COLISÃO COM VITIMA;ENTRE UM COLETIVO E UM CAMINHÃO DA EMLURB"
1178;Não classificado;VEICULO ESTACIONADO NA RAMPA DE ACESSO PARA DEFICIENTE FISICO
1179;Atropelamento de pedestre;ATROPELAMNETO DE PEDESTRE
1180;Atropelamento de pedestre;MOTOCICLETA COM DOIS OCUPANTES ATROPELOU PEDESTRE
1181;Atropelamento de pedestre;01 AUTO 01 MOTO
1182;Atropelamento de pedestre;COM VITIMA
1183;Atropelamento de pedestre;COM UMA VÍTIMA. APÓS O SEMÁFORO Nº 642
1184;Atropelamento de pedestre;ATROPELAMENTO COM VÍTIMA.
1185;Atropelamento de pedestre;ATROPELAMENTO SEGUIDO DE COLISAO
1186;Atropelamento de pedestre;MOTO ATRPELOU
1187;Atropelamento de pedestre;MOTO/ PEDESTRE
1188;Atropelamento de pedestre;X
1189;Atropelamento de pedestre;01 PEDESTRE (VT-14 NO LOCAL)
1190;Atropelamento de pedestre;COLISAO COM VITIMA ENTRE AUTO E MOTO
1191;Atropelamento de pedestre;"ATROPELAMENTO; ÔNIBUS E PEDESTRE COM VÍTIMA."
1192;Atropelamento de pedestre;ATROPELAMENTO COM VÍTIMA
1193;Atropelamento de pedestre;ONIBUS METROPOLITANA E PEDESTRE
1194;Atropelamento de pedestre;ATROPELAMENTO DE ADOLECENTE
1195;Não classificado;Ambulância
1196;Não classificado;Sem informação
1197;Acidente com ciclista;Ciclomotor
1198;Não classificado;Carro
