sk_tipo_acidente;causa_acidente;descricao_detalhada
253;Colisão entre veículos;COLISÃO COM VITIMA ENTRE UMA MOTO E UM AUTO
254;Colisão entre veículos;AUTO E UMA CINQUENTINHA
255;Colisão entre veículos;COLISÃO ENTE UM AUTO-PASSEIO E UMA MOTO COM VITIMA
256;Colisão entre veículos;COLISÃO ENTRE AUTO E CINQUENTINHA
257;Colisão entre veículos;AUTO E CICLOMOTOR
258;Colisão entre veículos;COLISÃO ENTRE AUTO E 50CC COM VÍTIMA
259;Colisão entre veículos;COLISAO DE ONIBUS E SHINERAY
260;Colisão entre veículos;COLISÃO COM 1 VITIMA SOCORRIDA PELOS BOMBEIROS
261;Colisão entre veículos;02 MOTOS- 02 AUTOS
262;Colisão entre veículos;COLISÃO 2 VITIMAS A ESPERA DO SAMU
263;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE UM CARRO E UMA MOTO
264;Colisão entre veículos;AUTO E MOTO VT DA CTTU ESTA NO LOCAL N: 04
265;Colisão entre veículos;COLISÃO ENTRE UM AUTO PASSEIO E UMA MOTO
266;Colisão entre veículos;ENTRE AUTO E UMA MOTO
267;Colisão entre veículos;C/V ENTRE UMA MOTO E UM AUTO
268;Colisão entre veículos;ENTRE AUTO E MOTO
269;Colisão entre veículos;DOIS E MOTO
270;Colisão entre veículos;COLISÃO ENTRE CAMINHÃO E MOTO
271;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE DOIS AUTOS
272;Colisão entre veículos;COLISÃO ENTRE AUTO/ CAMINHÃO/ MOTOCICLETA - BOMBEIROS NO LOCAL
273;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE AUTO E MOTOCICLETA AUTO EVADIU-SE DO LOCAL
274;Colisão entre veículos;COLISAO DE MOTO E AUTO COM UMA VITIMA
275;Colisão entre veículos;COLISÃO ENTRE AUTO X MOTOCICLETA
276;Colisão entre veículos;COLISÃO ENTRE 2 AUTOS E UMA MOTO
277;Colisão entre veículos;COLISÃO COM VITIMA JA SOCORRIDA PELO SAMU-CONDUTOR DO VEICULO SE EVADIU PORÉM A PLACA E O PARA-CHO
278;Colisão entre veículos;C/V ENTRE MOTO E UM AUTO
279;Colisão entre veículos;COLISAO ENTRE UMA MOTO E UM CAMINHAO
280;Atropelamento de animal;ATROPELAMENTO DE UM ANIMAL ENTRE MOTOCILISTA CONDUTOR SOCORRIDO PELO SAMU
281;Colisão entre veículos;COLIÇÃO DE MOTO E AUTO SEGUNDO ORIENTADOR 1 JOSÉ JUSTINO O VEICULO SE EVADIO DO LOCAL
282;Atropelamento de animal;MOTO ATROPELOU UM ANIMAL
283;Colisão entre veículos;AUTO E MOTO BT RICARDO LIMA ESTA NO LOCAL
284;Colisão entre veículos;colisão com vitima já socorrida-a condutora do auto-passeio retirou o veiculo do local
285;Colisão entre veículos;SET/OLINDA
286;Colisão entre veículos;COLISÃO ENTRE AUTOMOVEL E MOTOCICLETA
287;Colisão entre veículos;01 AUTO- 01 MOTO
288;Colisão entre veículos;AUTO E MATO
289;Colisão entre veículos;COLISÃO COM 2 VITIMAS ENTRE AUTO-PASSEIO E UMA MOTO
290;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTOCICLETA COM VITIMA
291;Colisão entre veículos;COLCOM DUAS VITIMA JA SOCORRIDA
292;Colisão entre veículos;COLISAO DE MOTO E CAMINHAO COM UMA VITIMA
293;Colisão entre veículos;COLISÃO ENTRE UM ONIBUS E UMA MOTO
294;Colisão entre veículos;COLCOM VITIMA SET/JABOATÃO P/BR 101
295;Colisão entre veículos;COLISAO COM VITIMA ENTRE MOTO E AUTO
296;Colisão entre veículos;COLISÃO ENTRE UM AUTO E UMA MOTO COM VITIMA FATAL
297;Colisão entre veículos;COLISÃO COM VITIMA ENTRE UMA MOTO E UM AUTO-PASSEIO
298;Colisão entre veículos;COLCOM V/T
299;Colisão entre veículos;COLISÃO COM 1 VITIMA FATAL
300;Colisão entre veículos;COLISÃO 1 VITIMA SOCORRIDO PELO SAMU
301;Colisão entre veículos;COLISAO- COM VITIMA- CAMINHAO E AUTO
302;Colisão entre veículos;ONIBUS - MOTOCICLETA
303;Colisão entre veículos;COLISAO DE MOTO CAMINHAO
304;Colisão entre veículos;MOTO AUTO E ONIBUS
305;Colisão entre veículos;COLISÃO ENTRE UM AUTO E UMA MOTO
306;Atropelamento de animal;ATROPELAMENTO DE ANIMAL- MOTOQUEIRO ANIMAL
307;Colisão entre veículos;C/V ENTRE AUTO E MOTO
308;Colisão entre veículos;COLISÃO ENTRE UMA MOTO E DOIS AUTOS
309;Colisão entre veículos;COLISAO E MOTO E AUTO COM UMA VITIMA
310;Colisão entre veículos;VEICULO SOB PERSEGUIÇÃO COLIDE COM UMA MOTO E UM AUTO PASSEIO VT DA POLICIA ESTA NO LOCAL
311;Colisão entre veículos;COLISÃO AUTO E MOTO- C/V
312;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO C/ VÍTIMA
313;Colisão entre veículos;COLISAO ENTRE UMA MOTO E UM AUTO C/ VITIMA
314;Colisão entre veículos;COLISÃO COM 1 VITIMA SENDO ATENDIDO NO LOCAL
315;Colisão entre veículos;COLISAO ENTRE DOIS AUTOS E UM ONIBUS
316;Colisão entre veículos;COLISÃO ENTRE UM AUTOMOVEL E UM ÔNIBUS
317;Colisão entre veículos;ENTRE MICRO ONIBUS - ONIBUS
318;Atropelamento de pedestre;ONIBUS
319;Atropelamento de pedestre;COLISÃO ENTRE AUTO E MOTO
320;Atropelamento de pedestre;
321;Atropelamento de pedestre;ATROPELAMENTO PEDRESTE SOCORRIDO PELO SAMU
322;Atropelamento de pedestre;ONIBUS E PEDESTRE
323;Atropelamento de pedestre;COLISÃO COM VITIMA ENTRE UMA MOTO E UM AUTO-PASSEIO E UM ATROPELAMENTO
324;Atropelamento de pedestre;C/V ENTRE ONIBUS E TAXI
325;Atropelamento de pedestre;ÔNIBUS ATROPELOU UM PEDESTRE
326;Atropelamento de pedestre;ATROPELAMENTO COM VITIMA ESPERANDO ATENDIMENTO DO SAMU
327;Atropelamento de pedestre;ATROPELAMENTO- VÍTIMA AGUARDANDO SOCORRO
328;Atropelamento de pedestre;MOTOCICLETA E PEDESTRE
329;Atropelamento de pedestre;MOTO TITAN
330;Atropelamento de pedestre;ATROPELAMENTO COM 2 VITIMAS SOCORRIDOS PELO SAMU
331;Atropelamento de pedestre;ATROPELAMENTO MOTOCICLETA PEDESTRE - GM WALLACE NO LOCAL - HT 01
332;Atropelamento de pedestre;ATROPELAMENTO A UM PEDESTRE
333;Atropelamento de pedestre;ATROPELAMENTO MOTOCICLETA X PEDESTRE - SAMU NO LOCAL
334;Atropelamento de pedestre;ONBUS E PEDESTRE
335;Atropelamento de pedestre;MOTO E PEDESTRE
336;Colisão entre veículos;COLISAO C/V
337;Capotamento/Tombamento;CAPOTAMENTO DE UM VEICULO E QUEDA DE UMA ARVORE
338;Capotamento/Tombamento;CAPOTAMENTO DE UM VEICULO
339;Colisão entre veículos;COLISÃO ENTRE DOIS AUTO C/V
340;Colisão entre veículos;COLISAO ENTRE AUTOS
341;Colisão entre veículos;COLISÃO ENTRE AUTOS
342;Colisão entre veículos;COLISÃO ENTRE DOIS AUTOMOVEIS
343;Colisão entre veículos;COLISÃO ENTRE DOIS OUTOS
344;Colisão entre veículos;COLISÃO ENTRE DOIS AUTOS COM VÍTIMA
345;Colisão entre veículos;COLISÃO ENTRE UM AUTO PASSEIO E UM TÁXI COM VÍTIMA
346;Colisão entre veículos;ONIBUS - AUTO
347;Colisão entre veículos;ENTRE DOIS AUTO
348;Colisão entre veículos;VEICULO CHOCOU SE CONTRA UM MURO
349;Colisão entre veículos;COM UMA VÍTIMA JÁ SOCORRIDA
350;Colisão entre veículos;COLISÃO ENTRE AUTO E BICICLETA
351;Colisão entre veículos;AUTO ÔNIBUS E BICICLETA
352;Colisão entre veículos;COLISÃO ENTRE MOTOCICLETA E CICLISTA - VITIMA ( MOTO ) SENDO SOCORRIDA PELOS BOMBEIROS
353;Colisão entre veículos;ENTRE UMA CHINERAY E UM AUTO
354;Colisão entre veículos;COM CICLISTA JA SOCORRIDO
355;Colisão entre veículos;ENTRE UM AUTO E UMA BICICLETA
356;Colisão entre veículos;COLISÃO COM 1 VITIMA SOCORRIDA PELO SAMU IC ENCONTRA SE JA NO LOCAL AGUARDANDO A EQUIPE DA CTTU
357;Colisão entre veículos;RUA JEAN EMILE FAVRE C/ RUA JAMAICA
358;Colisão entre veículos;COLIOSÃO ENTRE CINQUENTINHA - AUTO
359;Colisão entre veículos;COLISÃO DE AUTO E CINQUENTINHA
360;Colisão entre veículos;COLISÃO ENTRE AUTO E CICLISTA
361;Colisão entre veículos;COLISÃO ENTRE UM AUTO E UM CIQUENTINHA
362;Colisão entre veículos;COLISÃO DE ONIBUS E CINQUENTINHA COM 2 VITIMA
363;Colisão entre veículos;1 CINQUENTINHA- 1AUTO
364;Colisão entre veículos;COLISAO ENTRE AUTO E UMA CINQUENTINHA
365;Colisão entre veículos;COM UMA VÍTIMA GM STEPHANE NO LOCAL.
366;Colisão entre veículos;COLISÃO COM 1 VITIMA A ESPERA DO BOMBEIRO
367;Colisão entre veículos;COLISÃO AUTO E MOTO
368;Colisão entre veículos;ACIDENTE DE PERCURSO
369;Colisão entre veículos;VITIMA AGUARDANDO SOCORRO
370;Colisão entre veículos;VIATURA PM - MOTOCICLETA
371;Colisão entre veículos;COLISAO COM VITIMA
372;Colisão entre veículos;COLISÃO
373;Colisão entre veículos;COLISÃO ENTRE AUTO-MOTOCICLETA
374;Colisão entre veículos;AUTO E MOTO O PROPIETARIO DO AUTO SE EVADIU
375;Colisão entre veículos;COLISÃO COM VITIMA O MESMO ESTA ALCOOLISADO POLICIA NO LOCAL
376;Colisão entre veículos;COLVT
377;Colisão entre veículos;COLISÃO ENTRE ONIBUS E UMA MOTO
378;Colisão entre veículos;COLC/B
379;Colisão entre veículos;COLISÃO ENTRE AUTO X MOTO
380;Colisão entre veículos;COLISÃO ENTRE MOTOCICLETAS
381;Colisão entre veículos;COLISÃO DE MOT E AUTO COM VITIMA
382;Colisão entre veículos;COLISÃO COM VITIMA COM SUSPEITA DE EMBRIAGUZ
383;Colisão entre veículos;COM VÍTIMA.
384;Atropelamento de pedestre;COLISÃO ENTRE DUAS MOTOS
385;Colisão entre veículos;AUTO E MOTO COLM VITIMA
386;Colisão entre veículos;CHOQUE DE UMA MOTOCICLETA CONTRA UM MURO
387;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE DUAS MOTOS- UMA MOTO DESAPARECEU DO LOCAL E A OUTRA É UMA SHINERAY 50 CC
388;Colisão entre veículos;SEM VÍTIMAS VT 36 NO LOCAL
389;Colisão entre veículos;AUTO R MOTO
390;Colisão entre veículos;COLISÃO DE MOTO E AUTO COM VITIMA
391;Colisão entre veículos;COLISÃO DE MOTO E AUTO COM UAM VITIMA
392;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE UM ONIBUS E UMA MOTO- LOCAL PRESERVADO
393;Colisão entre veículos;COLISAO ENTRE MOTO E DOIS AUTOS
394;Colisão entre veículos;COLISAO ENTRE MOTO E TRES AUTOS
395;Colisão entre veículos;COLISÃO ENTRE UMA MOTOCICLETA E UAM KOBI
396;Colisão entre veículos;COLISÃO C/ VITIMA
397;Colisão entre veículos;C/V ENTRE AUTO E CINQUENTINHA
398;Colisão entre veículos;ENTRE DUAS MOTO
399;Capotamento/Tombamento;COLISÃO E CAPOTAMENTO COM CINCO VEICULO E UMA VITIMA
400;Colisão entre veículos;COLISAO- COM VÍTIMA- MOTO FOI RETIRADA DO LOCAL
401;Colisão entre veículos;MOTO INVADE CALÇADA E BATE NO MURO
402;Colisão entre veículos;COLISÃO ENTRE UM AUTO E UMA MOTO- NA FAIXA DO BRT
403;Atropelamento de pedestre;ATROPELAMENTO NA FAIXA BRT
404;Colisão entre veículos;COLISÃO ENTRE DUAS MOTOS
405;Colisão entre veículos;COLISÃO ENTRE UMA CINQUENTINHA E UM AUTO
406;Colisão entre veículos;COLISAO
407;Colisão entre veículos;KIN2153 SANDEIRO-PGT2837 FAZER
408;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE UMA MOTO E DOIS CARROS
409;Colisão entre veículos;3 MOTOS E 1 AUTO
410;Colisão entre veículos;CAMINHÃO E MOTO
411;Colisão entre veículos;ONIBUS E AUTO
412;Colisão entre veículos;COLISAO ENTRE UM ONIBUS E UM AUTO
413;Colisão entre veículos;COM VÍTIMAS.
414;Colisão entre veículos;C/V ENTRE UM TÁXI E UMA MOTO
415;Colisão entre veículos;CONDUTOR PERDEU O CONTROLE NA CURVA E SE CHOCOU COM UMA PLACA DE SINALIZAÇÃO
416;Colisão entre veículos;COLISÃO ENTRE UM MICRO ONIBUS E UMA MOTO
417;Colisão entre veículos;COLISAO ENTRE UM CARRO E UMA MOTO
418;Colisão entre veículos;COLCOM UMA VITIMA JA SOCORRIDA
419;Colisão entre veículos;COLISAO ENTRE UM MICRO ONIBUS E UMA MOTO
420;Colisão entre veículos;CONDUTOR COM SUSPEITA DE EMBREAGUÊS
421;Colisão entre veículos;COLISÃO ENTRE UMA MOTO E UM AUTO PASSEIO COM VÍTIMA
422;Colisão entre veículos;COLISÃO ENTRE ONIBUS E MOTOCICLETA COM VÍTIMA
423;Colisão entre veículos;ENTRE UMA MOTO E AUTO
424;Colisão entre veículos;COLISÃO ENTRE UM AUTOMOVEL E UMA MOTOCICLETA
425;Colisão entre veículos;COLISÃO TRANSVERSAL
426;Colisão entre veículos;COQUE COM GUARD RAIL
427;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE UMA MOTO E UM CARRO
428;Colisão entre veículos;COLISÃO ENTRE UM AUTO E UMA MOTO DA POLICIA
429;Colisão entre veículos;TOMBAMENTO SEGUIDO DE CHOQUE
430;Colisão entre veículos;CAMINHÃOE MOTOCICLETA
431;Atropelamento de animal;ONIBUS ATROPELOU UM MENINO QUE GALOPAVA UM CAVALO
432;Atropelamento de animal;ATROPELAMENTO DE ANIMAIS
433;Atropelamento de pedestre;ATROPELAMENTO C/V
434;Atropelamento de pedestre;ATROPELAMENTO COM VITIMA
435;Atropelamento de pedestre;MOTOCICLETA - PEDESTRE
436;Atropelamento de pedestre;ATROPELAMENTO PEDESTRE
437;Atropelamento de pedestre;ATROPELAMENTO AUTO PASSEIO
438;Atropelamento de pedestre;ATROPELAMENTO DE PEDESTRE MOTO
439;Atropelamento de pedestre;COLISÃO COM 2 VITIMAS
440;Atropelamento de pedestre;ATROPELAMENTO DE MOTO E PEDESTRE
441;Colisão entre veículos;ÔNIBUS - AUTO
442;Colisão entre veículos;COLISAO ENTRE DOIS VEICULOS
443;Colisão entre veículos;VEICULO CHOCOU-SE COM A GARAGEM DO EDIFICIO
444;Colisão entre veículos;OCORRENCIA OCORREU PELA MADRUGADA COM 2 (DUAS) VITIMAS FATAL
445;Colisão entre veículos;COLISAO ENTRE ONIBUS- CAMINHÃO E AUTO COM VITIMA
446;Colisão entre veículos;C/V ENTRE DOIS AUTOS
447;Colisão entre veículos;VIATURA MOTO / CARRO DOS CORREIOS
448;Capotamento/Tombamento;Capotamento com um veículo
449;Colisão entre veículos;AUTO
450;Colisão entre veículos;COLISÃO COM 1 VÍTIMA
451;Colisão entre veículos;TRES AUTOS
452;Colisão entre veículos;CONDUTOR PERDEU O CONTROLE E CAPOTOU O CARRO
453;Colisão entre veículos;ONIBUS E BICICLETA
454;Colisão entre veículos;auto colidiu com ciclista
455;Colisão entre veículos;COLC/V SETAV GENERAL SAN MARTINS
456;Colisão entre veículos;COLISÃO COM CICLISTA
457;Colisão entre veículos;ATRPELAMENTO COM CILISTA
458;Colisão entre veículos;ATROPELAMENTO
459;Colisão entre veículos;MOTO E CICLISTA
460;Colisão entre veículos;DOIS AUTO E CILISTA
461;Colisão entre veículos;BICICLETA E AUTO
462;Colisão entre veículos;MOTO E CLIOR
463;Colisão entre veículos;VT 15 DA CTTU ESTA NO LOCAL
464;Colisão entre veículos;MOTO CHINERAY
465;Colisão entre veículos;ENTRE UMA CINQUENTINHA E UMA AUTO
466;Colisão entre veículos;COLISÃO COM 1 VITIMA GM JOSUEL SANTANA QTH
467;Colisão entre veículos;C/V ENTRE MOTO E AUTO
468;Colisão entre veículos;COLISÃO COM 1 A ESPERA DO SAMU
469;Colisão entre veículos;COLISÃO COM VITIMA SOCORRIDA PELO SAMU
470;Colisão entre veículos;COLC/V-SET/BOA VIAGEM UM DOIS CONDUTOR ESTA COM SINTOMA DE EMBRIAQUEZ
471;Colisão entre veículos;COLISÃO ENTRE UMA MOTO E UM VEICULO
472;Colisão entre veículos;MOTO AUTO
473;Colisão entre veículos;COLISÃO ENVONVENDO 2 MOTOS- COM VITIMA
474;Capotamento/Tombamento;.C/V SET/SUB
475;Não classificado;NÃO INFORMADO
476;Colisão entre veículos;COLISÃO COM 1 VITIMA BT 09 QTH
477;Colisão entre veículos;C/V
478;Colisão entre veículos;SENT ILHA DO RETIRO / MOTO E AUTO
479;Colisão entre veículos;2 AUTO E 2 MOTO
480;Colisão entre veículos;VT DA CTTU 17 ESTA NO LOCAL 3 AUTO 3 UMA MOTO
481;Colisão entre veículos;COLISÃO COM VÍTIMA.
482;Colisão entre veículos;COLC/V SET.
483;Colisão entre veículos;COLISÃO ENTRE DUAS MOTOCICLETAS
484;Capotamento/Tombamento;MOTOQUEIRO TOMBOU NA VIA
485;Colisão entre veículos;CHOQUE EM MURO
486;Colisão entre veículos;COLCV SET/CD
487;Colisão entre veículos;COLISAO DE DUAS MOTOS COM
488;Colisão entre veículos;COLC/V SET/SUB
489;Colisão entre veículos;01 MOTO- 01 KOMBI
490;Colisão entre veículos;MOTO - AUTO
491;Colisão entre veículos;AUTO-MOTO
492;Colisão entre veículos;COL.-C/V-SET AFOGADOS
493;Colisão entre veículos;AUTO E MOTO / MOTORISTA DO AUTO CON SINTOMAS DE EMBRIAGUES
494;Colisão entre veículos;COLISAO ENTRE DUAS MOTOS COM FERIDOS
495;Colisão entre veículos;COLC/VSET/CD
496;Colisão entre veículos;COLC/V SET/CAXANGA
497;Colisão entre veículos;COLISÃO COM 1 VITIMA A ESPERA DA SAMU
498;Colisão entre veículos;COLC/V GM WILLAMES VT 03 JA NO LOCAL
499;Colisão entre veículos;MOTO E AUTO / VT 16 NO QTH
500;Colisão entre veículos;COLISAO DE DUAS MOTOS COM 1 VITIMA
501;Colisão entre veículos;01 MOTO 01 AUTO PREFEITURA (VT-07 NO LOCAL)
502;Colisão entre veículos;CHOQUE
503;Colisão entre veículos;COM TRÊS VÍTIMAS
504;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO COM VITIMA SENTIDO CENTRO
505;Colisão entre veículos;DOIS ONIBUS
506;Colisão entre veículos;COLISÃO COM VITIMA JÁ SOCORRIDA PELO SAMU
507;Não classificado;CIDADÃO QUE PEGAVA CARONA EM UM ONIBUS CAIU NA VIA
508;Atropelamento de pedestre;ATROPELAMENTO DE PEDESTRE POR UMA MOTO
509;Atropelamento de pedestre;DOIS AUTO E UM ATROPELAMENTO
510;Atropelamento de pedestre;COLC/V-SET/JABOATÃO
511;Atropelamento de pedestre;SEIS VEÍCULOS / DUAS PESSOAS ATROPELADAS
512;Atropelamento de pedestre;AUTO - PEDESTRE
513;Atropelamento de pedestre;ONIBUS ATROPELOU UM PEDESTRE
514;Atropelamento de pedestre;PGS2376- SPIN
515;Atropelamento de pedestre;ATROPELAMENTO VITIMA A ESPERA DO SAMU
516;Atropelamento de pedestre;ATROPELAMENTO DE PEDESTRE VITIMA A ESPERA DO SAMU
517;Atropelamento de pedestre;COM UMA VÍTIMA.
518;Atropelamento de pedestre;ATROPÉLAMENTO ENTRE AUTO E PEDESTRE
519;Atropelamento de pedestre;ATROPELAMENTO COM UMA VITIMA JA SOCORRIDA
520;Colisão entre veículos;01 AUTOS
521;Colisão entre veículos;CHOQUE DE UM AUTO CONTRA UM MURO
522;Colisão entre veículos;COLISAO DE ONIBUS E AUTO S/V
523;Colisão entre veículos;COLISAO ENTRE UM AUTP E CAMINHAO
524;Colisão entre veículos;CHOQUE DE UM CARRO CONTRA O MURO DA RESIDENCIA ANTIGINDO UMA MOTO QUE ESTAVA NA GARAGEM
525;Colisão entre veículos;AUTO CARROÇA
526;Colisão entre veículos;VEICULO CHOCOU-SE COM UM MURO
527;Colisão entre veículos;COLISAO ENTRE UM AUTO E UM CAMINHAO
528;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE DOIS AUTOS SENTIDO AEROPORTO
529;Colisão entre veículos;COLISÃO ENTRE 3 AUTO
530;Colisão entre veículos;C/V ENTRE UM MOTO E UMA BICICLETA
531;Colisão entre veículos;ONIBUS E CICLISTA
532;Colisão entre veículos;MOTO X BICICLETA
533;Colisão entre veículos;AUTO E CHINERAY
534;Colisão entre veículos;COLISÃO ENTRE MOTO E 50 CILINDRADAS
535;Colisão entre veículos;CINQUENTINHA E MOTO
536;Colisão entre veículos;AUTO E CIQUENTINHA
537;Colisão entre veículos;COLISAO ENTRE UM AUTO E UMA 50CC
538;Colisão entre veículos;SHIINERAY E TAXI
539;Colisão entre veículos;COL-S/C JA SOCORRIDA SET/CD
540;Colisão entre veículos;COLISÃO ENTRE ONIBUS E MOTO
541;Colisão entre veículos;01 CAMINHÃO- 01 MOTO
542;Colisão entre veículos;COLISÃO ENTRE UMA MOTO E TAXI
543;Colisão entre veículos;VIATUARA / MOTO
544;Colisão entre veículos;EM FRENTE AO MOTEL TURQUESA
545;Colisão entre veículos;COLC/V SET/CD
546;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO COM VÍTIMA NO CRUZAMENTO
547;Colisão entre veículos;COLISÃO ENTRE UMA MOTO E UM CARRO
548;Não classificado;AUTO MOTO
549;Colisão entre veículos;OLISAO DE MOTO E AUTO COM UMA VITIMA
550;Colisão entre veículos;2 MOTOS COM VÍTIMAS
551;Colisão entre veículos;COM VT DA POLICIA E MOTO
552;Colisão entre veículos;COLISÃO COM 1 VITIMA SOCORRIDA PELO SUB JAIR BARROS QTH
553;Colisão entre veículos;ÔNIBUS E MOTO
554;Colisão entre veículos;COLC/V SET/AV NORTE
555;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO COM 1 VÍTIMA
556;Colisão entre veículos;ONIBUNS VERA CRUZ E MOTO
557;Colisão entre veículos;COLISÃO ENTRE DUAS MOTOS E DOIS AUTOS
558;Colisão entre veículos;COLISAOO ENTRE AUTO E MOTO
559;Colisão entre veículos;COLISAO ENTRE UM ONIBUS E UMA MOTO A VITIMA FOI SOCORRIDA
560;Colisão entre veículos;COLC/V GM LUCIO E RENATA JA NO LOCAL NA VT 15
561;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO COM UMA VÍTIMA
562;Colisão entre veículos;COLC/V SET AFOGADOS
563;Colisão entre veículos;DOIS AUTOS E UMA MOTO
564;Colisão entre veículos;MOTO
565;Colisão entre veículos;COLISÃO ENTRE ONIBUS E MOTO COM VITIMA
566;Colisão entre veículos;COLISÃO COM VITIMAS-GM FIDELIX FAZENDO O BO
567;Colisão entre veículos;MOTO E CAMINHÃO BAU DE COR AZUL
568;Colisão entre veículos;COLISAO ENTRE UM AUTO E UMA MOTO COM VITIMA FATAL
569;Colisão entre veículos;COLISAO DE MOTO E AUTOS COM UMA VITIMA
570;Colisão entre veículos;COLISÃO COM 2 VITIMAS SOCORRIDAS PELOS BOMBEIROS
571;Colisão entre veículos;COLC/V-SET- CAMARAGIBE
572;Colisão entre veículos;DUAS MOTOCICLETAS
573;Colisão entre veículos;01 AUTO 02 MOTOS
574;Não classificado;MOTO DESLIZOU NO OLEO / OLEO NA PISTA
575;Colisão entre veículos;COLISÃO COM VITIMA-CTTU NO LOCAL VT 14
576;Colisão entre veículos;COLISÃO COM 1 VITIMA A ESPERA DOS BOMBEIROS
577;Colisão entre veículos;COM DUAS VÍTIMAS
578;Colisão entre veículos;COLISAO DE DUAS MOTOS COM TRES VITIMAS
579;Colisão entre veículos;COLC/V-SUB CD
580;Colisão entre veículos;COLC/V-SET SUB
581;Colisão entre veículos;COLISÃO COM 1 VITIMA VT 08 QTH
582;Colisão entre veículos;COLC/V SET/DERBY
583;Colisão entre veículos;COLISÃO COM VÍTIMA ENVOLVENDO AUTO E MOTOCICLETA
584;Colisão entre veículos;MOTO E COLETIVO
585;Colisão entre veículos;COLISÃO ENTRE DOIS AUTOS E MOTO
586;Colisão entre veículos;AONIBUS E MOTO
587;Colisão entre veículos;ENTRE UMA AUTO E UMA MOTO
588;Colisão entre veículos;COLC/V-SETBOA VIAGEM
589;Colisão entre veículos;COLISÃO COM VITIMA-GM WELINTON JÁ ESTA FAZENDO BO
590;Colisão entre veículos;CAMINHÃO E ONIBUS CAXANGA
591;Atropelamento de pedestre;AUTO -PEDESTRE
592;Atropelamento de pedestre;MOTO E CRIANÇA
593;Atropelamento de pedestre;ONIBUS ATROPELOU UMPEDESTRE-SAMU ACIONADO
594;Atropelamento de pedestre;ATROPELAMENTO VITIMA JÁ SOCORRIDA-ONIBUS
595;Atropelamento de pedestre;MOTO - PEDESTRE
596;Atropelamento de pedestre;ATROPELAMENTO COM UMA VITIMA SOCORRIDA PELOS BOMBEIROS OBS MOTOCICLISTA ENCONTRA SE COM SINTOMAS D
597;Atropelamento de pedestre;ATROPELAMENTO ENVOLVENDO MOTOCICLETA COM VÍTIMA BOMBEIROS NO LOCAL
598;Atropelamento de pedestre;ATROPELAMENTO SOBRE FAIXA DE PEDESTRE
599;Atropelamento de pedestre;KJR1042
600;Atropelamento de pedestre;VÍTIMA JÁ SOCORRIDA.
601;Atropelamento de pedestre;ATROPELAMENTO ENVOLVENDO ÕNIBUS E PEDESTRE
602;Atropelamento de pedestre;ONIBUS DA EMP BORBOREMA
603;Atropelamento de pedestre;ATROPELAMENTO ENVOLVENDO TAXIE PEDESTRE
604;Atropelamento de pedestre;CAMINHÃO / BT EUDES E ROMILDO NO QTH MT 06 E 012
605;Atropelamento de pedestre;ATROPELAMENTO PEDESTRE SUSPEITO DE EMBREAGUÊS
606;Colisão entre veículos;COLISÃO COM 1 VITIMA BT ADILSON QTH
607;Colisão entre veículos;2 AUTOS
608;Colisão entre veículos;COLISÃO ENTRE DOIS AUTOS COM 1 VÍTIMA
609;Colisão entre veículos;COLISAO DE TRES AUTOS S/V
610;Capotamento/Tombamento;CAPOTAMENTO DE AUTO
611;Colisão entre veículos;UM CAMINHÃO E TRES AUTOS / VT 013 GM LUCIO NO QTH
612;Colisão entre veículos;CONDUTOR PERDEU O CONTROLE E SE CHOCOU NO MEIO FIO DA VIA
613;Colisão entre veículos;DOIS AUTOS / COLISÃO E CAPOTAMENTO
614;Colisão entre veículos;COLISÃO ENTRE UMA VT DA PM E UM CARRO- CARRO SAIU DO LOCAL
615;Capotamento/Tombamento;VEICULO COLIDIO COM OUTRO VEÍCULO E TOMBOU NA VIA
616;Colisão entre veículos;COLISÃO ENTRE 3 AUTOS
617;Colisão entre veículos;CONDUTORA SE CHOCOU CONTRA O POSTE
618;Colisão entre veículos;CONDUTOR TEVE UMA CONVULSÃO NO VOLANTE VINDO A OBITO- CONFIRMADO BOMBEIRO QUE ATENDEU NO LOCAL DO FATO
619;Colisão entre veículos;CHOQUE DE AUTO EM GELO BAIANO
620;Colisão entre veículos;COLISÃO COM 1 VITIMA ENTRE CICLISTA E AUTO PASSEIO
621;Atropelamento de pedestre;BICICLETA COM AUTO
622;Colisão entre veículos;COLISAO DE MOTO E BICICLETA COM DUAS VITIMAS
623;Atropelamento de pedestre;ATROPELAMENTO DE CICLISTA
624;Colisão entre veículos;COLISÃO ENTRE AUTO E 50 CILINDRADAS
