X,Y,Z,tipo,data,detalhes,longitude,latitude
-34.8782122,-8.05616759999998,0,Motocicleta,02/01/2015,Moto,-34.878212,-8.056168
-34.9087036,-8.04102159999997,0,Motocicleta,03/01/2015,Moto,-34.908704,-8.041022
-34.9317813,-8.01256069999994,0,Motocicleta,04/01/2015,Moto,-34.931781,-8.012561
-34.8800603,-8.06290509999997,0,Motocicleta,04/01/2015,Moto,-34.88006,-8.062905
-34.8843598,-8.03283089999996,0,Motocicleta,05/01/2015,Moto,-34.88436,-8.032831
-34.9297374,-8.014728,0,Motocicleta,05/01/2015,Moto,-34.929737,-8.014728
-34.9181449,-8.02854429999996,0,Motocicleta,05/01/2015,Moto,-34.918145,-8.028544
-34.8869400999999,-8.00692979999997,0,Motocicleta,06/01/2015,Moto,-34.88694,-8.00693
-34.9280959,-8.10068329999996,0,Motocicleta,06/01/2015,Moto,-34.928096,-8.100683
-34.9442053,-8.072593,0,Motocicleta,06/01/2015,Moto,-34.944205,-8.072593
-34.9230695,-8.08195129999996,0,Motocicleta,07/01/2015,Moto,-34.923069,-8.081951
-34.9031997,-8.03292119999998,0,Motocicleta,07/01/2015,Moto,-34.9032,-8.032921
-34.9326611,-8.05048689999995,0,Motocicleta,07/01/2015,Moto,-34.932661,-8.050487
-34.9428105,-8.1190851,0,Motocicleta,07/01/2015,Moto,-34.94281,-8.119085
-34.9546659,-8.04960519999997,0,Motocicleta,08/01/2015,Moto,-34.954666,-8.049605
-34.956699,-8.09078359999995,0,Motocicleta,08/01/2015,Moto,-34.956699,-8.090784
-34.8871601,-8.08479279999995,0,Motocicleta,08/01/2015,Moto,-34.88716,-8.084793
-34.9091005,-8.07621519999998,0,Motocicleta,09/01/2015,Moto,-34.9091,-8.076215
-34.9145856,-8.12291139999996,0,Motocicleta,09/01/2015,Moto,-34.914586,-8.122911
-34.938283,-8.05893749999996,0,Motocicleta,09/01/2015,Moto,-34.938283,-8.058937
-34.9175334,-8.06913529999997,0,Motocicleta,09/01/2015,Moto,-34.917533,-8.069135
-34.940815,-8.01703869999994,0,Motocicleta,12/01/2015,Moto,-34.940815,-8.017039
-34.9197999,-8.05125969999995,0,Motocicleta,12/01/2015,Moto,-34.9198,-8.05126
-34.9071800999999,-8.05866659999998,0,Motocicleta,12/01/2015,Moto,-34.90718,-8.058667
-34.9058603999999,-8.12298309999994,0,Motocicleta,12/01/2015,Moto,-34.90586,-8.122983
-34.921436,-8.11427359999993,0,Motocicleta,12/01/2015,Moto,-34.921436,-8.114274
-34.9077487,-8.08743239999995,0,Motocicleta,13/01/2015,Moto,-34.907749,-8.087432
-34.9135636999999,-8.13716209999995,0,Motocicleta,13/01/2015,Moto,-34.913564,-8.137162
-34.8974732,-8.06996919999995,0,Motocicleta,14/01/2015,Moto,-34.897473,-8.069969
-34.92293,-8.07568409999993,0,Motocicleta,14/01/2015,Moto,-34.92293,-8.075684
-34.9140224,-8.0543245,0,Motocicleta,14/01/2015,Moto,-34.914022,-8.054324
-34.8967329,-8.04822679999995,0,Motocicleta,15/01/2015,Moto,-34.896733,-8.048227
-34.9076736,-8.08788379999993,0,Motocicleta,16/01/2015,Moto,-34.907674,-8.087884
-34.8994767999999,-8.05246009999996,0,Motocicleta,16/01/2015,Moto,-34.899477,-8.05246
-34.9308103,-8.03312839999995,0,Motocicleta,16/01/2015,Moto,-34.93081,-8.033128
-34.8967248,-8.0375239,0,Motocicleta,16/01/2015,Moto,-34.896725,-8.037524
-34.8955473,-8.06577059999995,0,Motocicleta,16/01/2015,Moto,-34.895547,-8.065771
-34.8805082,-8.05245219999995,0,Motocicleta,17/01/2015,Moto,-34.880508,-8.052452
-34.8968374999999,-8.06685679999993,0,Motocicleta,17/01/2015,Moto,-34.896837,-8.066857
-34.8873371,-8.06106739999996,0,Motocicleta,17/01/2015,Moto,-34.887337,-8.061067
-34.9399298,-8.01572659999994,0,Motocicleta,17/01/2015,Moto,-34.93993,-8.015727
-34.9296141,-8.08890879999996,0,Motocicleta,17/01/2015,Moto,-34.929614,-8.088909
-34.9124748,-8.11141639999994,0,Motocicleta,18/01/2015,Moto,-34.912475,-8.111416
-34.8813504,-8.032151,0,Motocicleta,19/01/2015,Moto,-34.88135,-8.032151
-34.8970413,-8.06416919999998,0,Motocicleta,19/01/2015,Moto,-34.897041,-8.064169
-34.9071102999999,-8.0577052,0,Motocicleta,19/01/2015,Moto,-34.90711,-8.057705
-34.8845851,-8.09027909999998,0,Motocicleta,19/01/2015,Moto,-34.884585,-8.090279
-34.8776918999999,-8.047045,0,Motocicleta,19/01/2015,Moto,-34.877692,-8.047045
-34.8771232,-8.07147229999993,0,Motocicleta,19/01/2015,Moto,-34.877123,-8.071472
-34.9116218,-8.02581929999997,0,Motocicleta,20/01/2015,Moto,-34.911622,-8.025819
-34.9130809,-8.11451259999996,0,Motocicleta,20/01/2015,Moto,-34.913081,-8.114513
-34.8969716,-8.05380659999997,0,Motocicleta,20/01/2015,Moto,-34.896972,-8.053807
-34.9085855,-8.1422601,0,Motocicleta,20/01/2015,Moto,-34.908585,-8.14226
-34.9575197999999,-8.02871959999993,0,Motocicleta,20/01/2015,Moto,-34.95752,-8.02872
-34.9167474999999,-8.06239259999995,0,Motocicleta,20/01/2015,Moto,-34.916747,-8.062393
-34.9153823,-8.02554839999993,0,Motocicleta,20/01/2015,Moto,-34.915382,-8.025548
-34.9432692,-8.03822769999994,0,Motocicleta,20/01/2015,Moto,-34.943269,-8.038228
-34.989084,-8.03595419999994,0,Motocicleta,21/01/2015,Moto,-34.989084,-8.035954
-34.8875731,-8.04357649999997,0,Motocicleta,21/01/2015,Moto,-34.887573,-8.043576
-34.9040312,-8.0272004,0,Motocicleta,22/01/2015,Moto,-34.904031,-8.0272
-34.9062734999999,-8.13664169999993,0,Motocicleta,22/01/2015,Moto,-34.906273,-8.136642
-34.903248,-8.13549469999998,0,Motocicleta,22/01/2015,Moto,-34.903248,-8.135495
-34.8741512999999,-8.06230489999996,0,Motocicleta,22/01/2015,Moto,-34.874151,-8.062305
-34.9088644999999,-8.10951519999998,0,Motocicleta,22/01/2015,Moto,-34.908864,-8.109515
-34.9098327999999,-8.0362597,0,Motocicleta,22/01/2015,Moto,-34.909833,-8.03626
-34.9557440999999,-8.03138079999997,0,Motocicleta,23/01/2015,Moto,-34.955744,-8.031381
-34.9142236,-8.05417839999996,0,Motocicleta,23/01/2015,Moto,-34.914224,-8.054178
-34.9407747,-8.01721929999997,0,Motocicleta,23/01/2015,Moto,-34.940775,-8.017219
-34.9162244999999,-8.02458159999998,0,Motocicleta,23/01/2015,Moto,-34.916224,-8.024582
-34.8789015,-8.03951309999997,0,Motocicleta,23/01/2015,Moto,-34.878901,-8.039513
-34.9196684,-8.02104389999994,0,Motocicleta,24/01/2015,Moto,-34.919668,-8.021044
-34.9066932,-8.04718179999998,0,Motocicleta,24/01/2015,Moto,-34.906693,-8.047182
-34.8768899,-8.06287859999998,0,Motocicleta,24/01/2015,Moto,-34.87689,-8.062879
-34.9444628,-8.11842659999996,0,Motocicleta,24/01/2015,Moto,-34.944463,-8.118427
-34.8776624,-8.07168209999998,0,Motocicleta,24/01/2015,Moto,-34.877662,-8.071682
-34.9034692,-8.03313769999994,0,Motocicleta,25/01/2015,Moto,-34.903469,-8.033138
-34.9269854999999,-8.06447729999996,0,Motocicleta,26/01/2015,Moto,-34.926985,-8.064477
-34.9194485,-8.12028529999998,0,Motocicleta,26/01/2015,Moto,-34.919448,-8.120285
-34.8762836999999,-8.04650319999996,0,Motocicleta,27/01/2015,Moto,-34.876284,-8.046503
-34.9081403,-8.03481749999997,0,Motocicleta,27/01/2015,Moto,-34.90814,-8.034817
-34.8738094,-8.06238459999997,0,Motocicleta,27/01/2015,Moto,-34.873809,-8.062385
-34.9017244999999,-8.03071149999994,0,Motocicleta,28/01/2015,Moto,-34.901724,-8.030711
